UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR ,YEAR
222567,R,229.0,R,2635.0,R,9.0,R,303.0,Z,0.0,Z,0.0,R,303.0,R,186.0,R,61.0,R,274.0,Z,0.0,Z,0.0,R,274.0,R,141.0,R,51.0,R,12.0,2022
222576,R,1082.0,R,2517.0,R,43.0,R,971.0,R,1.0,R,0.0,R,970.0,R,643.0,R,66.0,R,391.0,R,0.0,R,0.0,R,391.0,R,186.0,R,48.0,R,19.0,2022
222822,R,549.0,R,913.0,R,60.0,R,476.0,R,0.0,R,0.0,R,476.0,R,292.0,R,61.0,R,187.0,Z,0.0,Z,0.0,R,187.0,R,64.0,R,34.0,R,17.0,2022
222831,R,1215.0,R,4090.0,R,30.0,R,1268.0,R,1.0,Z,0.0,R,1267.0,R,928.0,R,73.0,R,16.0,R,0.0,Z,0.0,R,16.0,R,7.0,R,44.0,R,18.0,2022
222992,R,2142.0,R,7974.0,R,27.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,18.0,2022
223320,R,212.0,R,2365.0,R,9.0,R,300.0,R,0.0,R,0.0,R,300.0,R,153.0,R,51.0,R,1801.0,R,0.0,R,0.0,R,1801.0,R,919.0,R,51.0,R,18.0,2022
223427,R,3533.0,R,8172.0,R,43.0,R,3001.0,R,1.0,R,0.0,R,3000.0,R,1648.0,R,55.0,R,1451.0,R,0.0,R,0.0,R,1451.0,R,702.0,R,48.0,R,35.0,2022
223506,R,399.0,R,1425.0,R,28.0,Z,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,A,,Z,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,13.0,2022
223816,R,366.0,R,2610.0,R,14.0,R,332.0,R,1.0,R,0.0,R,331.0,R,162.0,R,49.0,R,896.0,R,1.0,R,0.0,R,895.0,R,348.0,R,39.0,R,13.0,2022
223898,R,289.0,R,1109.0,R,26.0,R,301.0,R,0.0,R,0.0,R,301.0,R,170.0,R,56.0,R,678.0,R,0.0,R,0.0,R,678.0,R,437.0,R,64.0,R,15.0,2022
223922,R,160.0,R,670.0,R,24.0,R,233.0,R,0.0,R,0.0,R,233.0,R,130.0,R,56.0,R,486.0,R,0.0,R,0.0,R,486.0,R,257.0,R,53.0,R,17.0,2022
224110,R,675.0,R,3661.0,R,18.0,R,564.0,R,0.0,R,0.0,R,564.0,R,353.0,R,63.0,R,585.0,R,0.0,R,0.0,R,585.0,R,311.0,R,53.0,R,19.0,2022
224147,R,1901.0,R,2628.0,R,72.0,R,1712.0,R,0.0,R,0.0,R,1712.0,R,1076.0,R,63.0,R,141.0,R,0.0,R,0.0,R,141.0,R,52.0,R,37.0,R,18.0,2022
224350,R,286.0,R,1271.0,R,23.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,11.0,2022
224545,R,296.0,R,624.0,R,47.0,R,217.0,R,0.0,R,0.0,R,217.0,R,136.0,R,63.0,R,5.0,R,0.0,R,0.0,R,5.0,R,2.0,R,40.0,R,14.0,2022
224554,R,823.0,R,1941.0,R,42.0,R,772.0,R,0.0,R,0.0,R,772.0,R,502.0,R,65.0,R,45.0,R,0.0,R,0.0,R,45.0,R,18.0,R,40.0,R,20.0,2022
224615,R,2041.0,R,16408.0,R,12.0,R,23.0,R,0.0,R,0.0,R,23.0,R,11.0,R,48.0,R,41.0,R,0.0,R,0.0,R,41.0,R,23.0,R,56.0,R,22.0,2022
224642,R,2460.0,R,5213.0,R,47.0,R,2309.0,R,0.0,R,0.0,R,2309.0,R,1421.0,R,62.0,R,1563.0,R,0.0,R,0.0,R,1563.0,R,796.0,R,51.0,R,21.0,2022
224891,R,207.0,R,396.0,R,52.0,R,214.0,R,1.0,R,0.0,R,213.0,R,127.0,R,60.0,R,91.0,R,0.0,R,0.0,R,91.0,R,44.0,R,48.0,R,19.0,2022
224961,R,208.0,R,466.0,R,45.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,13.0,2022
225070,R,351.0,R,932.0,R,38.0,R,3.0,R,0.0,R,0.0,R,3.0,R,2.0,R,67.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,20.0,2022
