UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR,YEAR
222567,R,297.0,R,2750.0,R,11.0,R,229.0,R,0.0,R,0.0,R,229.0,R,157.0,R,69.0,R,334.0,R,0.0,R,0.0,R,334.0,R,174.0,R,52.0,R,16.0,2023
222576,R,1112.0,R,2840.0,R,39.0,R,1082.0,R,0.0,R,0.0,R,1082.0,R,737.0,R,68.0,R,361.0,R,0.0,R,0.0,R,361.0,R,171.0,R,47.0,R,27.0,2023
222822,R,494.0,R,1584.0,R,31.0,R,549.0,R,1.0,R,0.0,R,548.0,R,284.0,R,52.0,R,211.0,R,1.0,R,0.0,R,210.0,R,58.0,R,28.0,R,17.0,2023
222831,R,1423.0,R,4339.0,R,33.0,R,1215.0,R,0.0,Z,0.0,R,1215.0,R,870.0,R,72.0,R,21.0,R,0.0,Z,0.0,R,21.0,R,8.0,R,38.0,R,18.0,2023
222992,R,2338.0,R,8641.0,R,27.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,18.0,2023
223320,R,259.0,R,2247.0,R,12.0,R,293.0,R,0.0,R,0.0,R,293.0,R,126.0,R,43.0,R,1554.0,R,0.0,R,0.0,R,1554.0,R,762.0,R,49.0,R,23.0,2023
223427,R,3632.0,R,7221.0,R,50.0,R,3533.0,R,0.0,R,0.0,R,3533.0,R,1963.0,R,56.0,R,1494.0,R,0.0,R,0.0,R,1494.0,R,753.0,R,50.0,R,36.0,2023
223506,R,212.0,R,1256.0,R,17.0,R,1.0,R,0.0,R,0.0,R,1.0,R,1.0,R,100.0,R,6.0,R,0.0,R,0.0,R,6.0,R,6.0,R,100.0,R,19.0,2023
223816,R,458.0,R,2853.0,R,16.0,R,366.0,R,1.0,R,0.0,R,365.0,R,194.0,R,53.0,R,819.0,R,0.0,R,0.0,R,819.0,R,349.0,R,43.0,R,14.0,2023
223898,R,313.0,R,1345.0,R,23.0,R,289.0,R,0.0,R,0.0,R,289.0,R,166.0,R,57.0,R,594.0,R,0.0,R,0.0,R,594.0,R,373.0,R,63.0,R,15.0,2023
223922,R,217.0,R,798.0,R,27.0,R,160.0,R,0.0,R,0.0,R,160.0,R,95.0,R,59.0,R,315.0,R,0.0,R,0.0,R,315.0,R,169.0,R,54.0,R,20.0,2023
224110,R,802.0,R,3941.0,R,20.0,R,675.0,R,1.0,R,0.0,R,674.0,R,435.0,R,65.0,R,559.0,R,0.0,R,0.0,R,559.0,R,269.0,R,48.0,R,19.0,2023
224147,R,1994.0,R,2648.0,R,75.0,R,1901.0,R,0.0,R,0.0,R,1901.0,R,1112.0,R,58.0,R,83.0,R,0.0,R,0.0,R,83.0,R,44.0,R,53.0,R,18.0,2023
224350,R,323.0,R,1289.0,R,25.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,12.0,2023
224545,R,253.0,R,572.0,R,44.0,R,285.0,Z,0.0,Z,0.0,R,285.0,R,171.0,R,60.0,R,4.0,R,0.0,R,0.0,R,4.0,R,2.0,R,50.0,R,13.0,2023
224554,R,1038.0,R,2212.0,R,47.0,R,823.0,R,0.0,R,0.0,R,823.0,R,519.0,R,63.0,R,43.0,R,0.0,R,0.0,R,43.0,R,15.0,R,35.0,R,19.0,2023
224615,R,3246.0,R,18256.0,R,18.0,R,19.0,R,0.0,R,0.0,R,19.0,R,17.0,R,89.0,R,30.0,R,0.0,R,0.0,R,30.0,R,20.0,R,67.0,R,23.0,2023
224642,R,2213.0,R,5088.0,R,43.0,R,2460.0,R,0.0,R,0.0,R,2460.0,R,1563.0,R,64.0,R,1798.0,R,0.0,R,0.0,R,1798.0,R,985.0,R,55.0,R,22.0,2023
224891,R,267.0,R,400.0,R,67.0,R,207.0,R,0.0,R,0.0,R,207.0,R,93.0,R,45.0,R,117.0,R,0.0,R,0.0,R,117.0,R,51.0,R,44.0,R,24.0,2023
224961,R,227.0,R,513.0,R,44.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,14.0,2023
225070,R,380.0,R,1025.0,R,37.0,R,3.0,R,0.0,R,0.0,R,3.0,R,2.0,R,67.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,20.0,2023
225308,R,553.0,R,2604.0,R,21.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,16.0,2023
225371,R,364.0,R,1564.0,R,23.0,R,242.0,R,0.0,R,0.0,R,242.0,R,132.0,R,55.0,R,64.0,R,0.0,R,0.0,R,64.0,R,28.0,R,44.0,R,18.0,2023
225414,R,356.0,R,1447.0,R,25.0,R,291.0,R,0.0,R,0.0,R,291.0,R,219.0,R,75.0,R,62.0,R,0.0,R,0.0,R,62.0,R,35.0,R,56.0,R,19.0,2023
225423,R,4450.0,R,17539.0,R,25.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,20.0,2023
225432,R,1343.0,R,3731.0,R,36.0,R,1210.0,R,1.0,R,0.0,R,1209.0,R,815.0,R,67.0,R,163.0,R,0.0,R,0.0,R,163.0,R,76.0,R,47.0,R,18.0,2023
225502,R,149.0,R,617.0,R,24.0,R,173.0,R,0.0,R,0.0,R,173.0,R,106.0,R,61.0,R,25.0,R,0.0,R,0.0,R,25.0,R,12.0,R,48.0,R,14.0,2023
225511,R,5214.0,R,10301.0,R,51.0,R,5102.0,R,0.0,R,0.0,R,5102.0,R,4410.0,R,86.0,R,453.0,R,0.0,R,0.0,R,453.0,R,329.0,R,73.0,R,21.0,2023
225520,R,279.0,R,1866.0,R,15.0,R,345.0,R,0.0,R,0.0,R,345.0,R,206.0,R,60.0,R,107.0,R,0.0,R,0.0,R,107.0,R,48.0,R,45.0,R,25.0,2023
