UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,YEAR
222567,1,1,999,R,7481,R,3006,R,4475,R,62,R,25,R,37,R,624,R,290,R,334,R,1207,R,442,R,765,R,2683,R,1057,R,1626,R,10,R,6,R,4,R,2711,R,1101,R,1610,Z,0,Z,0,Z,0,R,86,R,50,R,36,R,98,R,35,R,63,2021
222567,2,2,1,R,7481,R,3006,R,4475,R,62,R,25,R,37,R,624,R,290,R,334,R,1207,R,442,R,765,R,2683,R,1057,R,1626,R,10,R,6,R,4,R,2711,R,1101,R,1610,Z,0,Z,0,Z,0,R,86,R,50,R,36,R,98,R,35,R,63,2021
222567,3,-2,1,R,4768,R,1893,R,2875,R,44,R,21,R,23,R,243,R,101,R,142,R,684,R,287,R,397,R,1712,R,666,R,1046,R,7,R,3,R,4,R,1954,R,762,R,1192,Z,0,Z,0,Z,0,R,51,R,28,R,23,R,73,R,25,R,48,2021
222567,4,-2,1,R,817,R,405,R,412,R,8,R,4,R,4,R,31,R,17,R,14,R,116,R,67,R,49,R,337,R,159,R,178,R,0,R,0,R,0,R,302,R,142,R,160,Z,0,Z,0,Z,0,R,11,R,11,R,0,R,12,R,5,R,7,2021
222567,5,-2,1,R,3951,R,1488,R,2463,R,36,R,17,R,19,R,212,R,84,R,128,R,568,R,220,R,348,R,1375,R,507,R,868,R,7,R,3,R,4,R,1652,R,620,R,1032,Z,0,Z,0,Z,0,R,40,R,17,R,23,R,61,R,20,R,41,2021
222567,11,-2,1,R,2713,R,1113,R,1600,R,18,R,4,R,14,R,381,R,189,R,192,R,523,R,155,R,368,R,971,R,391,R,580,R,3,R,3,R,0,R,757,R,339,R,418,Z,0,Z,0,Z,0,R,35,R,22,R,13,R,25,R,10,R,15,2021
222567,19,-2,1,R,748,R,262,R,486,R,12,R,4,R,8,R,56,R,20,R,36,R,160,R,45,R,115,R,178,R,62,R,116,R,2,R,1,R,1,R,320,R,125,R,195,Z,0,Z,0,Z,0,R,10,R,4,R,6,R,10,R,1,R,9,2021
222567,20,-2,1,R,3203,R,1226,R,1977,R,24,R,13,R,11,R,156,R,64,R,92,R,408,R,175,R,233,R,1197,R,445,R,752,R,5,R,2,R,3,R,1332,R,495,R,837,Z,0,Z,0,Z,0,R,30,R,13,R,17,R,51,R,19,R,32,2021
222567,22,-2,1,R,1519,R,642,R,877,R,17,R,7,R,10,R,85,R,36,R,49,R,202,R,76,R,126,R,561,R,222,R,339,R,2,R,1,R,1,R,614,R,285,R,329,Z,0,Z,0,Z,0,R,5,R,4,R,1,R,33,R,11,R,22,2021
222567,23,-2,1,R,1383,R,593,R,790,R,16,R,7,R,9,R,67,R,28,R,39,R,180,R,68,R,112,R,515,R,206,R,309,R,2,R,1,R,1,R,566,R,268,R,298,Z,0,Z,0,Z,0,R,5,R,4,R,1,R,32,R,11,R,21,2021
