UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN ,YEAR
222567,1,1,999,R,7327,R,2978,R,4349,R,66,R,26,R,40,R,650,R,308,R,342,R,1158,R,441,R,717,R,2674,R,1035,R,1639,R,10,R,8,R,2,R,2607,R,1092,R,1515,R,0,R,0,R,0,R,81,R,44,R,37,R,81,R,24,R,57,R,0.0,A,,R,0.0,R,7327.0,2022
222567,2,2,1,R,7327,R,2978,R,4349,R,66,R,26,R,40,R,650,R,308,R,342,R,1158,R,441,R,717,R,2674,R,1035,R,1639,R,10,R,8,R,2,R,2607,R,1092,R,1515,R,0,R,0,R,0,R,81,R,44,R,37,R,81,R,24,R,57,R,0.0,A,,R,0.0,R,7327.0,2022
222567,3,-2,1,R,4980,R,2049,R,2931,R,48,R,24,R,24,R,288,R,126,R,162,R,736,R,323,R,413,R,1853,R,716,R,1137,R,6,R,5,R,1,R,1929,R,805,R,1124,R,0,R,0,R,0,R,56,R,31,R,25,R,64,R,19,R,45,A,,A,,A,,A,,2022
222567,4,-2,1,R,1063,R,544,R,519,R,14,R,10,R,4,R,62,R,25,R,37,R,160,R,90,R,70,R,405,R,200,R,205,R,0,R,0,R,0,R,391,R,204,R,187,R,0,R,0,R,0,R,19,R,10,R,9,R,12,R,5,R,7,A,,A,,A,,A,,2022
222567,5,-2,1,R,3917,R,1505,R,2412,R,34,R,14,R,20,R,226,R,101,R,125,R,576,R,233,R,343,R,1448,R,516,R,932,R,6,R,5,R,1,R,1538,R,601,R,937,R,0,R,0,R,0,R,37,R,21,R,16,R,52,R,14,R,38,A,,A,,A,,A,,2022
222567,11,-2,1,R,2347,R,929,R,1418,R,18,R,2,R,16,R,362,R,182,R,180,R,422,R,118,R,304,R,821,R,319,R,502,R,4,R,3,R,1,R,678,R,287,R,391,R,0,R,0,R,0,R,25,R,13,R,12,R,17,R,5,R,12,A,,A,,A,,A,,2022
222567,19,-2,1,R,598,R,232,R,366,R,8,R,5,R,3,R,33,R,14,R,19,R,145,R,49,R,96,R,172,R,60,R,112,R,0,R,0,R,0,R,230,R,101,R,129,R,0,R,0,R,0,R,7,R,3,R,4,R,3,R,0,R,3,A,,A,,A,,A,,2022
222567,20,-2,1,R,3319,R,1273,R,2046,R,26,R,9,R,17,R,193,R,87,R,106,R,431,R,184,R,247,R,1276,R,456,R,820,R,6,R,5,R,1,R,1308,R,500,R,808,R,0,R,0,R,0,R,30,R,18,R,12,R,49,R,14,R,35,A,,A,,A,,A,,2022
222567,21,-2,999,R,1643,R,680,R,963,R,20,R,8,R,12,R,123,R,60,R,63,R,249,R,98,R,151,R,600,R,237,R,363,R,2,R,2,R,0,R,605,R,259,R,346,R,0,R,0,R,0,R,14,R,6,R,8,R,30,R,10,R,20,A,,A,,A,,A,,2022
222567,22,-2,1,R,1643,R,680,R,963,R,20,R,8,R,12,R,123,R,60,R,63,R,249,R,98,R,151,R,600,R,237,R,363,R,2,R,2,R,0,R,605,R,259,R,346,R,0,R,0,R,0,R,14,R,6,R,8,R,30,R,10,R,20,A,,A,,A,,A,,2022
