UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN,YEAR
222567,1,1,999,R,7653,R,3224,R,4429,R,55,R,22,R,33,R,733,R,342,R,391,R,1266,R,508,R,758,R,2870,R,1129,R,1741,R,11,R,8,R,3,R,2497,R,1103,R,1394,R,0,R,0,Z,0,R,160,R,94,R,66,R,61,R,18,R,43,R,0.0,A,,R,0.0,R,7653.0,2023
222567,2,2,1,R,7653,R,3224,R,4429,R,55,R,22,R,33,R,733,R,342,R,391,R,1266,R,508,R,758,R,2870,R,1129,R,1741,R,11,R,8,R,3,R,2497,R,1103,R,1394,R,0,R,0,Z,0,R,160,R,94,R,66,R,61,R,18,R,43,R,0.0,A,,R,0.0,R,7653.0,2023
222567,3,-2,1,R,4926,R,2129,R,2797,R,39,R,15,R,24,R,313,R,138,R,175,R,781,R,350,R,431,R,1909,R,766,R,1143,R,8,R,6,R,2,R,1742,R,785,R,957,R,0,R,0,Z,0,R,86,R,55,R,31,R,48,R,14,R,34,A,,A,,A,,A,,2023
222567,4,-2,1,R,963,R,533,R,430,R,6,R,2,R,4,R,54,R,27,R,27,R,150,R,86,R,64,R,400,R,212,R,188,R,5,R,3,R,2,R,315,R,181,R,134,R,0,R,0,Z,0,R,24,R,19,R,5,R,9,R,3,R,6,A,,A,,A,,A,,2023
222567,5,-2,1,R,3963,R,1596,R,2367,R,33,R,13,R,20,R,259,R,111,R,148,R,631,R,264,R,367,R,1509,R,554,R,955,R,3,R,3,Z,0,R,1427,R,604,R,823,Z,0,Z,0,Z,0,R,62,R,36,R,26,R,39,R,11,R,28,A,,A,,A,,A,,2023
222567,11,-2,1,R,2727,R,1095,R,1632,R,16,R,7,R,9,R,420,R,204,R,216,R,485,R,158,R,327,R,961,R,363,R,598,R,3,R,2,R,1,R,755,R,318,R,437,Z,0,Z,0,Z,0,R,74,R,39,R,35,R,13,R,4,R,9,A,,A,,A,,A,,2023
222567,19,-2,1,R,1899,R,697,R,1202,R,15,R,6,R,9,R,137,R,57,R,80,R,398,R,146,R,252,R,577,R,184,R,393,R,1,R,1,Z,0,R,710,R,280,R,430,Z,0,Z,0,Z,0,R,37,R,19,R,18,R,24,R,4,R,20,A,,A,,A,,A,,2023
222567,20,-2,1,R,2064,R,899,R,1165,R,18,R,7,R,11,R,122,R,54,R,68,R,233,R,118,R,115,R,932,R,370,R,562,R,2,R,2,Z,0,R,717,R,324,R,393,Z,0,Z,0,Z,0,R,25,R,17,R,8,R,15,R,7,R,8,A,,A,,A,,A,,2023
222567,21,-2,999,R,1686,R,754,R,932,R,11,R,6,R,5,R,154,R,79,R,75,R,261,R,102,R,159,R,626,R,268,R,358,R,7,R,5,R,2,R,572,R,276,R,296,R,0,R,0,Z,0,R,30,R,13,R,17,R,25,R,5,R,20,A,,A,,A,,A,,2023
222567,22,-2,1,R,1686,R,754,R,932,R,11,R,6,R,5,R,154,R,79,R,75,R,261,R,102,R,159,R,626,R,268,R,358,R,7,R,5,R,2,R,572,R,276,R,296,R,0,R,0,Z,0,R,30,R,13,R,17,R,25,R,5,R,20,A,,A,,A,,A,,2023
