UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUKN,EFYGUKN,YEAR
222567,1,1,999,R,7842,R,3235,R,4607,R,53,R,22,R,31,R,760,R,320,R,440,R,1487,R,571,R,916,R,2977,R,1173,R,1804,R,8,R,5,R,3,R,2326,R,1042,R,1284,R,0,R,0,R,0,R,163,R,81,R,82,R,68,R,21,R,47,R,0.0,R,7842.0,2025
222567,2,2,1,R,7842,R,3235,R,4607,R,53,R,22,R,31,R,760,R,320,R,440,R,1487,R,571,R,916,R,2977,R,1173,R,1804,R,8,R,5,R,3,R,2326,R,1042,R,1284,R,0,R,0,R,0,R,163,R,81,R,82,R,68,R,21,R,47,R,0.0,R,7842.0,2025
222567,3,-2,1,R,4104,R,1688,R,2416,R,31,R,14,R,17,R,230,R,93,R,137,R,769,R,315,R,454,R,1670,R,628,R,1042,R,5,R,4,R,1,R,1278,R,586,R,692,R,0,R,0,R,0,R,77,R,38,R,39,R,44,R,10,R,34,A,,A,,2025
222567,4,-2,1,R,1005,R,500,R,505,R,9,R,4,R,5,R,69,R,30,R,39,R,161,R,91,R,70,R,434,R,193,R,241,R,1,R,1,R,0,R,309,R,170,R,139,R,0,R,0,R,0,R,20,R,10,R,10,R,2,R,1,R,1,A,,A,,2025
222567,5,-2,1,R,3099,R,1188,R,1911,R,22,R,10,R,12,R,161,R,63,R,98,R,608,R,224,R,384,R,1236,R,435,R,801,R,4,R,3,R,1,R,969,R,416,R,553,R,0,R,0,R,0,R,57,R,28,R,29,R,42,R,9,R,33,A,,A,,2025
222567,11,-2,1,R,3738,R,1547,R,2191,R,22,R,8,R,14,R,530,R,227,R,303,R,718,R,256,R,462,R,1307,R,545,R,762,R,3,R,1,R,2,R,1048,R,456,R,592,R,0,R,0,R,0,R,86,R,43,R,43,R,24,R,11,R,13,A,,A,,2025
222567,19,-2,1,R,579,R,194,R,385,R,8,R,3,R,5,R,28,R,14,R,14,R,169,R,39,R,130,R,175,R,48,R,127,R,1,R,1,R,0,R,177,R,81,R,96,R,0,R,0,R,0,R,10,R,5,R,5,R,11,R,3,R,8,A,,A,,2025
222567,20,-2,1,R,2520,R,994,R,1526,R,14,R,7,R,7,R,133,R,49,R,84,R,439,R,185,R,254,R,1061,R,387,R,674,R,3,R,2,R,1,R,792,R,335,R,457,R,0,R,0,R,0,R,47,R,23,R,24,R,31,R,6,R,25,A,,A,,2025
222567,21,-2,999,R,2286,R,979,R,1307,R,23,R,9,R,14,R,204,R,79,R,125,R,409,R,154,R,255,R,860,R,337,R,523,R,3,R,3,R,0,R,710,R,366,R,344,R,0,R,0,R,0,R,50,R,22,R,28,R,27,R,9,R,18,A,,A,,2025
222567,22,-2,1,R,2286,R,979,R,1307,R,23,R,9,R,14,R,204,R,79,R,125,R,409,R,154,R,255,R,860,R,337,R,523,R,3,R,3,R,0,R,710,R,366,R,344,R,0,R,0,R,0,R,50,R,22,R,28,R,27,R,9,R,18,A,,A,,2025
222567,23,-2,1,R,1487,R,665,R,822,R,14,R,6,R,8,R,86,R,37,R,49,R,253,R,108,R,145,R,580,R,229,R,351,R,3,R,3,R,0,R,493,R,258,R,235,R,0,R,0,R,0,R,36,R,18,R,18,R,22,R,6,R,16,A,,A,,2025
222567,24,-2,1,R,532,R,260,R,272,R,9,R,4,R,5,R,45,R,19,R,26,R,75,R,39,R,36,R,219,R,98,R,121,R,1,R,1,R,0,R,171,R,94,R,77,R,0,R,0,R,0,R,12,R,5,R,7,R,0,R,0,R,0,A,,A,,2025
222567,25,-2,1,R,955,R,405,R,550,R,5,R,2,R,3,R,41,R,18,R,23,R,178,R,69,R,109,R,361,R,131,R,230,R,2,R,2,R,0,R,322,R,164,R,158,R,0,R,0,R,0,R,24,R,13,R,11,R,22,R,6,R,16,A,,A,,2025
222567,31,-2,1,R,799,R,314,R,485,R,9,R,3,R,6,R,118,R,42,R,76,R,156,R,46,R,110,R,280,R,108,R,172,R,0,R,0,R,0,R,217,R,108,R,109,R,0,R,0,R,0,R,14,R,4,R,10,R,5,R,3,R,2,A,,A,,2025
222567,39,-2,1,R,257,R,110,R,147,R,3,R,1,R,2,R,10,R,6,R,4,R,64,R,20,R,44,R,78,R,27,R,51,R,1,R,1,R,0,R,89,R,49,R,40,R,0,R,0,R,0,R,6,R,4,R,2,R,6,R,2,R,4,A,,A,,2025
222567,40,-2,1,R,698,R,295,R,403,R,2,R,1,R,1,R,31,R,12,R,19,R,114,R,49,R,65,R,283,R,104,R,179,R,1,R,1,R,0,R,233,R,115,R,118,R,0,R,0,R,0,R,18,R,9,R,9,R,16,R,4,R,12,A,,A,,2025
222567,41,-2,999,R,5556,R,2256,R,3300,R,30,R,13,R,17,R,556,R,241,R,315,R,1078,R,417,R,661,R,2117,R,836,R,1281,R,5,R,2,R,3,R,1616,R,676,R,940,R,0,R,0,R,0,R,113,R,59,R,54,R,41,R,12,R,29,A,,A,,2025
222567,42,-2,1,R,5556,R,2256,R,3300,R,30,R,13,R,17,R,556,R,241,R,315,R,1078,R,417,R,661,R,2117,R,836,R,1281,R,5,R,2,R,3,R,1616,R,676,R,940,R,0,R,0,R,0,R,113,R,59,R,54,R,41,R,12,R,29,A,,A,,2025
222567,43,-2,1,R,2617,R,1023,R,1594,R,17,R,8,R,9,R,144,R,56,R,88,R,516,R,207,R,309,R,1090,R,399,R,691,R,2,R,1,R,1,R,785,R,328,R,457,R,0,R,0,R,0,R,41,R,20,R,21,R,22,R,4,R,18,A,,A,,2025
222567,44,-2,1,R,473,R,240,R,233,R,0,R,0,R,0,R,24,R,11,R,13,R,86,R,52,R,34,R,215,R,95,R,120,R,0,R,0,R,0,R,138,R,76,R,62,R,0,R,0,R,0,R,8,R,5,R,3,R,2,R,1,R,1,A,,A,,2025
222567,45,-2,1,R,2144,R,783,R,1361,R,17,R,8,R,9,R,120,R,45,R,75,R,430,R,155,R,275,R,875,R,304,R,571,R,2,R,1,R,1,R,647,R,252,R,395,R,0,R,0,R,0,R,33,R,15,R,18,R,20,R,3,R,17,A,,A,,2025
222567,51,-2,1,R,2939,R,1233,R,1706,R,13,R,5,R,8,R,412,R,185,R,227,R,562,R,210,R,352,R,1027,R,437,R,590,R,3,R,1,R,2,R,831,R,348,R,483,R,0,R,0,R,0,R,72,R,39,R,33,R,19,R,8,R,11,A,,A,,2025
222567,59,-2,1,R,322,R,84,R,238,R,5,R,2,R,3,R,18,R,8,R,10,R,105,R,19,R,86,R,97,R,21,R,76,R,0,R,0,R,0,R,88,R,32,R,56,R,0,R,0,R,0,R,4,R,1,R,3,R,5,R,1,R,4,A,,A,,2025
222567,60,-2,1,R,1822,R,699,R,1123,R,12,R,6,R,6,R,102,R,37,R,65,R,325,R,136,R,189,R,778,R,283,R,495,R,2,R,1,R,1,R,559,R,220,R,339,R,0,R,0,R,0,R,29,R,14,R,15,R,15,R,2,R,13,A,,A,,2025
222576,1,1,999,R,12016,R,4356,R,7660,R,71,R,32,R,39,R,364,R,139,R,225,R,660,R,266,R,394,R,5752,R,1960,R,3792,R,7,R,1,R,6,R,4475,R,1704,R,2771,R,309,R,101,R,208,R,378,R,153,R,225,Z,0,Z,0,Z,0,R,0.0,R,12016.0,2025
222576,2,2,1,R,12016,R,4356,R,7660,R,71,R,32,R,39,R,364,R,139,R,225,R,660,R,266,R,394,R,5752,R,1960,R,3792,R,7,R,1,R,6,R,4475,R,1704,R,2771,R,309,R,101,R,208,R,378,R,153,R,225,Z,0,Z,0,Z,0,R,0.0,R,12016.0,2025
222576,3,-2,1,R,9549,R,3313,R,6236,R,53,R,20,R,33,R,294,R,109,R,185,R,595,R,239,R,356,R,4797,R,1570,R,3227,R,7,R,1,R,6,R,3311,R,1199,R,2112,R,245,R,78,R,167,R,247,R,97,R,150,Z,0,Z,0,Z,0,A,,A,,2025
222576,4,-2,1,R,2010,R,854,R,1156,R,11,R,3,R,8,R,71,R,31,R,40,R,115,R,52,R,63,R,1032,R,439,R,593,R,2,R,1,R,1,R,644,R,284,R,360,R,55,R,18,R,37,R,80,R,26,R,54,Z,0,Z,0,Z,0,A,,A,,2025
222576,5,-2,1,R,7539,R,2459,R,5080,R,42,R,17,R,25,R,223,R,78,R,145,R,480,R,187,R,293,R,3765,R,1131,R,2634,R,5,Z,0,R,5,R,2667,R,915,R,1752,R,190,R,60,R,130,R,167,R,71,R,96,Z,0,Z,0,Z,0,A,,A,,2025
222576,11,-2,1,R,2467,R,1043,R,1424,R,18,R,12,R,6,R,70,R,30,R,40,R,65,R,27,R,38,R,955,R,390,R,565,Z,0,Z,0,Z,0,R,1164,R,505,R,659,R,64,R,23,R,41,R,131,R,56,R,75,Z,0,Z,0,Z,0,A,,A,,2025
222576,19,-2,1,R,276,R,100,R,176,R,1,R,1,Z,0,R,8,R,4,R,4,R,24,R,16,R,8,R,111,R,32,R,79,Z,0,Z,0,Z,0,R,116,R,39,R,77,R,8,R,4,R,4,R,8,R,4,R,4,Z,0,Z,0,Z,0,A,,A,,2025
222576,20,-2,1,R,7263,R,2359,R,4904,R,41,R,16,R,25,R,215,R,74,R,141,R,456,R,171,R,285,R,3654,R,1099,R,2555,R,5,Z,0,R,5,R,2551,R,876,R,1675,R,182,R,56,R,126,R,159,R,67,R,92,Z,0,Z,0,Z,0,A,,A,,2025
222576,21,-2,999,R,4215,R,1684,R,2531,R,27,R,12,R,15,R,133,R,55,R,78,R,232,R,109,R,123,R,2055,R,789,R,1266,R,3,R,1,R,2,R,1527,R,626,R,901,R,101,R,37,R,64,R,137,R,55,R,82,Z,0,Z,0,Z,0,A,,A,,2025
222576,22,-2,1,R,4215,R,1684,R,2531,R,27,R,12,R,15,R,133,R,55,R,78,R,232,R,109,R,123,R,2055,R,789,R,1266,R,3,R,1,R,2,R,1527,R,626,R,901,R,101,R,37,R,64,R,137,R,55,R,82,Z,0,Z,0,Z,0,A,,A,,2025
222576,23,-2,1,R,3996,R,1603,R,2393,R,26,R,11,R,15,R,126,R,51,R,75,R,228,R,107,R,121,R,1992,R,764,R,1228,R,3,R,1,R,2,R,1397,R,580,R,817,R,97,R,37,R,60,R,127,R,52,R,75,Z,0,Z,0,Z,0,A,,A,,2025
222576,24,-2,1,R,1178,R,535,R,643,R,8,R,2,R,6,R,43,R,23,R,20,R,53,R,24,R,29,R,617,R,278,R,339,R,2,R,1,R,1,R,378,R,180,R,198,R,30,R,11,R,19,R,47,R,16,R,31,Z,0,Z,0,Z,0,A,,A,,2025
222576,25,-2,1,R,2818,R,1068,R,1750,R,18,R,9,R,9,R,83,R,28,R,55,R,175,R,83,R,92,R,1375,R,486,R,889,R,1,Z,0,R,1,R,1019,R,400,R,619,R,67,R,26,R,41,R,80,R,36,R,44,Z,0,Z,0,Z,0,A,,A,,2025
222576,31,-2,1,R,219,R,81,R,138,R,1,R,1,Z,0,R,7,R,4,R,3,R,4,R,2,R,2,R,63,R,25,R,38,Z,0,Z,0,Z,0,R,130,R,46,R,84,R,4,Z,0,R,4,R,10,R,3,R,7,Z,0,Z,0,Z,0,A,,A,,2025
222576,39,-2,1,R,63,R,33,R,30,Z,0,Z,0,Z,0,R,3,R,2,R,1,R,8,R,6,R,2,R,18,R,9,R,9,Z,0,Z,0,Z,0,R,29,R,13,R,16,R,2,R,1,R,1,R,3,R,2,R,1,Z,0,Z,0,Z,0,A,,A,,2025
222576,40,-2,1,R,2755,R,1035,R,1720,R,18,R,9,R,9,R,80,R,26,R,54,R,167,R,77,R,90,R,1357,R,477,R,880,R,1,Z,0,R,1,R,990,R,387,R,603,R,65,R,25,R,40,R,77,R,34,R,43,Z,0,Z,0,Z,0,A,,A,,2025
222576,41,-2,999,R,7801,R,2672,R,5129,R,44,R,20,R,24,R,231,R,84,R,147,R,428,R,157,R,271,R,3697,R,1171,R,2526,R,4,Z,0,R,4,R,2948,R,1078,R,1870,R,208,R,64,R,144,R,241,R,98,R,143,Z,0,Z,0,Z,0,A,,A,,2025
222576,42,-2,1,R,7801,R,2672,R,5129,R,44,R,20,R,24,R,231,R,84,R,147,R,428,R,157,R,271,R,3697,R,1171,R,2526,R,4,Z,0,R,4,R,2948,R,1078,R,1870,R,208,R,64,R,144,R,241,R,98,R,143,Z,0,Z,0,Z,0,A,,A,,2025
