UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW,YEAR
222567,1,10,1,1,999,R,413,R,198.0,R,215.0,Z,0.0,Z,0.0,Z,0.0,R,13.0,R,8.0,R,5.0,R,28.0,R,13.0,R,15.0,R,180.0,R,82.0,R,98.0,Z,0.0,Z,0.0,Z,0.0,R,177.0,R,91.0,R,86.0,R,9.0,R,1.0,R,8.0,R,2.0,R,1.0,R,1.0,R,4.0,R,2.0,R,2.0,2024
222567,2,12,1,1,999,R,413,R,198.0,R,215.0,R,0.0,R,0.0,R,0.0,R,13.0,R,8.0,R,5.0,R,28.0,R,13.0,R,15.0,R,180.0,R,82.0,R,98.0,R,0.0,R,0.0,R,0.0,R,177.0,R,91.0,R,86.0,R,9.0,R,1.0,R,8.0,R,2.0,R,1.0,R,1.0,R,4.0,R,2.0,R,2.0,2024
222567,3,13,1,1,999,R,99,R,44.0,R,55.0,R,0.0,R,0.0,R,0.0,R,3.0,R,0.0,R,3.0,R,10.0,R,4.0,R,6.0,R,40.0,R,20.0,R,20.0,R,0.0,R,0.0,R,0.0,R,41.0,R,20.0,R,21.0,R,3.0,R,0.0,R,3.0,R,1.0,R,0.0,R,1.0,R,1.0,R,0.0,R,1.0,2024
222567,4,20,1,1,999,R,108,R,56.0,R,52.0,R,0.0,R,0.0,R,0.0,R,3.0,R,1.0,R,2.0,R,5.0,R,2.0,R,3.0,R,45.0,R,22.0,R,23.0,R,0.0,R,0.0,R,0.0,R,53.0,R,30.0,R,23.0,R,1.0,R,0.0,R,1.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,2024
222567,18,10,3,3,10,R,413,R,198.0,R,215.0,R,0.0,R,0.0,R,0.0,R,13.0,R,8.0,R,5.0,R,28.0,R,13.0,R,15.0,R,180.0,R,82.0,R,98.0,R,0.0,R,0.0,R,0.0,R,177.0,R,91.0,R,86.0,R,9.0,R,1.0,R,8.0,R,2.0,R,1.0,R,1.0,R,4.0,R,2.0,R,2.0,2024
222567,20,12,3,3,50,R,413,R,198.0,R,215.0,R,0.0,R,0.0,R,0.0,R,13.0,R,8.0,R,5.0,R,28.0,R,13.0,R,15.0,R,180.0,R,82.0,R,98.0,R,0.0,R,0.0,R,0.0,R,177.0,R,91.0,R,86.0,R,9.0,R,1.0,R,8.0,R,2.0,R,1.0,R,1.0,R,4.0,R,2.0,R,2.0,2024
222567,21,13,3,3,29A,R,99,R,44.0,R,55.0,R,0.0,R,0.0,R,0.0,R,3.0,R,0.0,R,3.0,R,10.0,R,4.0,R,6.0,R,40.0,R,20.0,R,20.0,R,0.0,R,0.0,R,0.0,R,41.0,R,20.0,R,21.0,R,3.0,R,0.0,R,3.0,R,1.0,R,0.0,R,1.0,R,1.0,R,0.0,R,1.0,2024
222567,22,14,3,3,11A,R,17,R,16.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,3.0,R,3.0,R,0.0,R,4.0,R,4.0,R,0.0,R,0.0,R,0.0,R,0.0,R,10.0,R,9.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2024
222567,23,15,3,3,12A,R,82,R,28.0,R,54.0,R,0.0,R,0.0,R,0.0,R,3.0,R,0.0,R,3.0,R,7.0,R,1.0,R,6.0,R,36.0,R,16.0,R,20.0,R,0.0,R,0.0,R,0.0,R,31.0,R,11.0,R,20.0,R,3.0,R,0.0,R,3.0,R,1.0,R,0.0,R,1.0,R,1.0,R,0.0,R,1.0,2024
222567,25,20,3,3,30,R,108,R,56.0,R,52.0,R,0.0,R,0.0,R,0.0,R,3.0,R,1.0,R,2.0,R,5.0,R,2.0,R,3.0,R,45.0,R,22.0,R,23.0,R,0.0,R,0.0,R,0.0,R,53.0,R,30.0,R,23.0,R,1.0,R,0.0,R,1.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,2024
