UNITID,INSTNM,IALIAS,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,DUNS,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,VETURL,ATHURL,DISAURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,INSTCAT,C18BASIC,C18IPUG,C18IPGRD,C18UGPRF,C18ENPRF,C18SZSET,C15BASIC,CCBASIC,CARNEGIE,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,F1SYSCOD,CBSA,CBSATYPE,CSA,NECTA,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG,YEAR
222567,Alvin Community College,Alvin|ACC|Dolphins,3110 Mustang Rd,Alvin,TX,77511-4898,48,6,Dr. Christal Albrecht,President,2817563500,741405330,077420917,353900,1,www.alvincollege.edu/,www.alvincollege.edu/admissions/,www.alvincollege.edu/Financial-Aid,https://www.applytexas.org/adappc/gen/c_start.WBX,www.alvincollege.edu/financial-aid/netprice/npcalc.htm,www.alvincollege.edu/veterans/,www.alvincollege.edu/student-information/student-right-to-know.html,www.alvincollege.edu/Disability-Services,4,2,1,4,1,2,40,1,2,-2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,4,6,2,0,1,1,3,5,3,40,2,3,2,-2,-2,26420,1,288,-2,48039,Brazoria County,4822,-95.240671,29.396244,79,1,2020
222576,Amarillo College, ,2011 S. Washington,Amarillo,TX,79109,48,6,Dr. Russell Lowery-Hart,President,8063715000,756000031,073186108,354000,1,www.actx.edu/,www.actx.edu/admission/,https://www.actx.edu/fin/,https://www.actx.edu/enroll/,https://www.actx.edu/fin/net-price-calculator,https://www.actx.edu/veterans/, ,https://www.actx.edu/disability/,4,2,1,3,1,2,40,1,2,-2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,4,4,2,0,1,1,4,4,3,40,2,3,2,-2,-2,11100,1,108,-2,48375,Potter County,4813,-101.846988,35.187839,73,1,2020
222822,Angelina College,AC,3500 South First,Lufkin,TX,75902-1768,48,6,Michael J. Simon,President,9366391301,751244347,074166273|145360975|185582470|947721940|134116024|113485911|619289106,666100,1,www.angelina.edu/,www.angelina.edu/records,www.angelina.edu/financial-aid,https://myac.angelina.edu/ICS/Admissions,www.collegeforalltexans.com/apps/CollegeMoney/,www.angelina.edu/va-benefits/, ,www.angelina.edu/studentaccess/inclusion/,4,2,1,3,1,2,40,1,2,-2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1,4,8,3,0,1,1,3,5,2,40,2,2,2,-2,-2,31260,2,-2,-2,48005,Angelina County,4801,-94.731625,31.287444,85,1,2020
222831,Angelo State University,Angelo State,2601 W. Avenue N,San Angelo,TX,76909,48,6,Ronnie D. Hawkins,President,3259422555,756002403,073157737,354100,1,www.angelo.edu/,www.angelo.edu/dept/admissions/,https://www.angelo.edu/admissions-and-aid/paying-for-college/tuition-and-fees/net-price-calculator.php,www.applytexas.org/,www.collegeforalltexans.com/apps/CollegeMoney/,www.angelo.edu/dept/veterans/,www.angelosports.com/,https://www.angelo.edu/services/disability-services/,1,1,1,9,1,1,13,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,18,13,4,11,4,13,18,19,21,2,4,1,Texas Tech University System,148050,41660,1,-2,-2,48451,Tom Green County,4811,-100.465051,31.440914,108,1,2020
222992,Austin Community College District, ,5930 Middle Fiskville Rd,Austin,TX,78752,48,6,Dr. Richard M. Rhodes,Chancellor,5122237000,741742036,078493517,1201500,1,www.austincc.edu/,www.austincc.edu/admissions,www.austincc.edu/students/financial-aid,www.austincc.edu/admissions,www.austincc.edu/students/financial-aid/explore-your-financial-aid/cost-of-attendance/net-price-calculator, ,www.austincc.edu/graduation-retention-and-transfer-rates,www.austincc.edu/support-and-services/services-for-students/student-accessibility-services-and-assistive-technology,1,1,1,5,1,2,30,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,3,5,1,0,1,1,5,6,7,40,2,5,2,-2,-2,12420,1,-2,-2,48453,Travis County,4810,-97.712505,30.322744,189,1,2020
223320,Coastal Bend College,CBC,3800 Charco Rd,Beeville,TX,78102,48,6,Dr. Justin Hoggard,President,3613542200,741542306,074608902|050013486|159388750|793747531,354600,1,www.coastalbend.edu/,www.coastalbend.edu/Admissions/,www.coastalbend.edu/FinAid/,www.coastalbend.edu/admissions_application/,www.collegeforalltexans.com/apps/CollegeMoney/,coastalbend.edu/TwoColumnLeft.aspx?pageid=8079&terms=military tuition, ,coastalbend.edu/specialneeds/,4,2,1,4,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,9,3,0,1,1,3,7,2,40,2,2,2,-2,-2,13300,2,-2,-2,48025,Bee County,4834,-97.755896,28.435194,88,1,2020
223427,Blinn College, ,902 College Ave,Brenham,TX,77833-4098,48,6,Dr. Mary Hensley,Chancellor of the Blinn College District,9798304000,746000400,078444817,354900,1,www.blinn.edu/,www.blinn.edu/admissions/,https://www.blinn.edu/financial-aid/index.html,https://www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/,https://www.blinn.edu/veteran-services/index.html,https://www.blinn.edu/student-services/student-consumer-information.html,www.blinn.edu/Disability/index.html,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,1,1,0,2,1,5,1,3,40,2,4,2,-2,-2,14780,2,288,-2,48477,Washington County,4810,-96.40852,30.160457,62,2,2020
223506,Brazosport College,BC,500 College Dr,Lake Jackson,TX,77566,48,6,Millicent M Valek,President,9792303000,741587881,079913091,728700,1,www.brazosport.edu/,www.brazosport.edu/students/future-students/admissions/,www.brazosport.edu/students/paying-for-college/financial-aid/,www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/,brazosport.edu/students/for-students/counseling-testing/veterans-services/, ,brazosport.edu/students/for-students/counseling-testing/disability-services/,1,1,1,5,1,2,30,1,2,2,2,2,23,1,A ,-2,-2,-2,1,1,1,1,1,3,23,5,0,5,2,9,14,12,40,2,2,2,-2,-2,26420,1,288,-2,48039,Brazoria County,4814,-95.40934,29.048604,195,1,2020
223524,Brookhaven College, ,3939 Valley View Ln,Farmers Branch,TX,75244-4997,48,6, , , ,-1, ,2100200,5, , , , , , , , ,4,2,1,3,1,2,40,1,2,-2,-2,2,21,1,C ,224615,2020,-2,3,1,3,9,-2,-2,6,1,0,1,1,4,3,7,40,2,-2,-2,-2,-2,19100,1,206,-2,48113,Dallas County,4824,-96.850152,32.928231,-2,-2,2020
223773,Cedar Valley College, ,3030 North Dallas Ave,Lancaster,TX,75134-3799,48,6, , , ,-1, ,356100,5, , , , , , , , ,4,2,1,3,1,2,40,1,2,-2,-2,2,41,1,C ,224615,2020,-2,3,1,3,9,-2,-2,6,2,0,1,1,3,6,7,40,2,-2,-2,-2,-2,19100,1,206,-2,48113,Dallas County,4830,-96.763413,32.62568,-2,-2,2020
