UNITID,INSTNM,IALIAS,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,UEIS,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,VETURL,ATHURL,DISAURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,INSTCAT,C21BASIC,C21IPUG,C21IPGRD,C21UGPRF,C21ENPRF,C21SZSET,C18BASIC,C15BASIC,CCBASIC,CARNEGIE,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,F1SYSCOD,CBSA,CBSATYPE,CSA,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG,YEAR
222567,Alvin Community College,Alvin|ACC|Dolphins,3110 Mustang Rd,Alvin,TX,77511-4898,48,6,Dr. Robert Exley,President,2817563500,741405330,X8J2BXH5SEZ3,00353900,1,www.alvincollege.edu/,www.alvincollege.edu/admissions/,www.alvincollege.edu/Financial-Aid,https://prod.applytexas.org/,www.alvincollege.edu/financial-aid/netprice/npcalc.htm,www.alvincollege.edu/veterans/,www.alvincollege.edu/student-information/student-right-to-know.html,www.alvincollege.edu/Disability-Services,4,2,1,4,1,2,40,1,2,-2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,4,9,3,0,1,1,3,6,5,3,40,2,3,2,-2,-2,26420,1,288,48039,Brazoria County,4822,-95.240671,29.396244,84,1,2022
222576,Amarillo College, ,2011 S. Washington,Amarillo,TX,79109,48,6,Dr. Russell Lowery-Hart,President,8063715000,756000031,KUSVD3RJ85Y1,00354000,1,www.actx.edu/,www.actx.edu/admission/,https://www.actx.edu/fin/,https://www.actx.edu/enroll/,https://www.actx.edu/fin/net-price-calculator,https://www.actx.edu/veterans/, ,https://www.actx.edu/disability/,4,2,1,3,1,2,40,1,2,-2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,4,4,2,0,1,1,4,4,4,3,40,2,3,2,-2,-2,11100,1,108,48375,Potter County,4813,-101.846988,35.187839,68,1,2022
222822,Angelina College,AC,3500 South First,Lufkin,TX,75902-1768,48,6,Michael J. Simon,President,9366391301,751244347,Z7JJF2YK8M84,00666100,1,www.angelina.edu/,www.angelina.edu/admissions,www.angelina.edu/financial-aid,https://myac.angelina.edu/ICS/Admissions,www.collegeforalltexans.com/apps/collegecosts.cfm?Type=1&Level=2,www.angelina.edu/veterans/, ,www.angelina.edu/disability-services/,4,2,1,3,1,2,40,1,2,-2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1,4,5,2,0,1,1,2,8,5,2,40,2,2,2,-2,-2,31260,2,-2,48005,Angelina County,4801,-94.731625,31.287444,72,1,2022
222831,Angelo State University,Angelo State,2601 W. Avenue N,San Angelo,TX,76909,48,6,Ronnie D. Hawkins,President,3259422555,756002403,G259P4JNCHG5,00354100,1,www.angelo.edu/,www.angelo.edu/dept/admissions/,https://www.angelo.edu/admissions-and-aid/paying-for-college/tuition-and-fees/net-price-calculator.php,www.applytexas.org/,www.collegeforalltexans.com/apps/CollegeMoney/,www.angelo.edu/dept/veterans/,www.angelosports.com/,https://www.angelo.edu/services/disability-services/,1,1,1,9,1,1,13,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,2,18,13,4,11,4,13,18,18,19,21,2,4,1,Texas Tech University System,148050,41660,1,-2,48451,Tom Green County,4811,-100.465051,31.440914,105,1,2022
222992,Austin Community College District, ,5930 Middle Fiskville Rd,Austin,TX,78752,48,6,Dr. Richard M. Rhodes,Chancellor,5122237000,741742036, ,01201500,1,www.austincc.edu/,www.austincc.edu/admissions,www.austincc.edu/students/financial-aid,www.austincc.edu/admissions,www.austincc.edu/students/financial-aid/explore-your-financial-aid/cost-of-attendance/net-price-calculator, ,www.austincc.edu/graduation-retention-and-transfer-rates,www.austincc.edu/support-and-services/services-for-students/student-accessibility-services-and-assistive-technology,1,1,1,5,1,2,30,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,3,14,5,0,5,2,15,5,6,7,40,2,5,2,-2,-2,12420,1,-2,48453,Travis County,4810,-97.712505,30.322744,186,1,2022
223320,Coastal Bend College,CBC,3800 Charco Rd,Beeville,TX,78102,48,6,Dr. Justin Hoggard,President,3613542200,741542306,ECTHFH5XYMN3,00354600,1,www.coastalbend.edu/,www.coastalbend.edu/Admissions/,www.coastalbend.edu/FinAid/,www.coastalbend.edu/How_to_Apply/,www.coastalbend.edu/TwoColumnLeft.aspx?pageid=2334&terms=net price calculator,coastalbend.edu/TwoColumnLeft.aspx?pageid=8079&terms=military tuition, ,www.coastalbend.edu/oas,4,2,1,4,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,9,3,0,1,1,3,9,7,2,40,2,2,2,-2,-2,13300,2,-2,48025,Bee County,4834,-97.755896,28.435194,84,1,2022
223427,Blinn College District, ,902 College Ave,Brenham,TX,77833-4098,48,6,Dr. Mary Hensley,Chancellor of the Blinn College District,9798304000,746000400,PVNGWHK2GA75,00354900,1,www.blinn.edu/,www.blinn.edu/admissions/,https://www.blinn.edu/financial-aid/index.html,https://www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/,https://www.blinn.edu/veteran-services/index.html,https://www.blinn.edu/student-services/student-consumer-information.html,www.blinn.edu/Disability/index.html,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,1,1,0,2,1,5,1,1,3,40,2,4,2,-2,-2,14780,2,288,48477,Washington County,4810,-96.40852,30.160457,59,2,2022
223506,Brazosport College,BC,500 College Dr,Lake Jackson,TX,77566,48,6,Vincent Solis,President,9792303000,741587881,T169F9L9GAG8,00728700,1,www.brazosport.edu/,www.brazosport.edu/students/future-students/admissions/,www.brazosport.edu/students/paying-for-college/financial-aid/,prod.applytexas.org/,www.collegeforalltexans.com/apps/CollegeMoney/,brazosport.edu/students/for-students/counseling-testing/veterans-services/, ,brazosport.edu/students/for-students/counseling-testing/disability-services/,1,1,1,5,1,2,30,1,2,2,2,2,23,1,A ,-2,-2,-2,1,1,1,1,1,3,14,5,0,5,2,9,23,14,12,40,2,2,2,-2,-2,26420,1,288,48039,Brazoria County,4814,-95.40934,29.048604,188,1,2022
223816,Central Texas College, ,6200 West Central Texas Expressway,Killeen,TX,76549-4199,48,6,Jim Yeonopolus,Chancellor,2545267161,741539003,HEJMYQ16N318,00400300,1,https://www.ctcd.edu/,https://www.ctcd.edu/academics/catalog/catalog-texas/admissions-and-registration/,https://www.ctcd.edu/students/current-ctc-students/financial-aid/,https://prod.applytexas.org/,www.highered.texas.gov/institutional-resources-programs/net-price-calculator/,https://www.ctcd.edu/students/military-students-veterans-and-spouses/, ,https://www.ctcd.edu/locations/central-campus/student-support/student-success-persistence/disability-support-services/,4,2,1,3,1,2,40,1,2,-2,2,2,22,1,A ,-2,-2,-2,1,1,1,1,1,4,6,2,0,1,1,3,3,3,8,40,2,3,2,-2,-2,28660,1,-2,48099,Coryell County,4825,-97.810827,31.120516,74,1,2022
223898,Cisco College, ,101 College Heights,Cisco,TX,76437,48,6,Dr. Thad Anglin,President,2544425000,751164343,M4AQNTLV3SM5,00355300,1,https://www.cisco.edu/,https://www.cisco.edu/admissions,https://www.cisco.edu/tuition-financial-aid/financial-aid,https://admin.cisco.edu/adm/admapp.html,www.highered.texas.gov/institutional-resources-programs/net-price-calculator/, ,https://www.cisco.edu/uploads/files/general/Disclosures/Student-Consumer-Information/Equity-in-Athletics-Disclosure-Report-2020-21.pdf,https://www.cisco.edu/student-life/academic-support/counseling#specialpopulations,4,2,1,3,1,2,40,1,2,-2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1,4,4,2,0,1,1,2,4,4,2,40,2,2,2,-2,-2,-2,-2,-2,48133,Eastland County,4811,-98.985206,32.401132,69,1,2022
