UNITID,XSCUGRAD,SCUGRAD,XSCUGDGSK,SCUGDGSK,XSCUGNDGS,SCUGNDGS,XSCUGFFN,SCUGFFN,XSCUGFFP,SCUGFFP,XSCFA2,SCFA2,XSCFA2DG,SCFA2DG,XSCFA2ND,SCFA2ND,XSCFA1N,SCFA1N,XSCFA1P,SCFA1P,XSCFY2,SCFY2,XSCFY2DG,SCFY2DG,XSCFY2ND,SCFY2ND,XSCFY1N,SCFY1N,XSCFY1P,SCFY1P,XUAGRNTN,UAGRNTN,XUAGRNTP,UAGRNTP,XUAGRNTT,UAGRNTT,XUAGRNTA,UAGRNTA,XUDGAGRNTN,UDGAGRNTN,XUDGAGRNTP,UDGAGRNTP,XUDGAGRNTT,UDGAGRNTT,XUDGAGRNTA,UDGAGRNTA,XUNDAGRNTN,UNDAGRNTN,XUNDAGRNTP,UNDAGRNTP,XUNDAGRNTT,UNDAGRNTT,XUNDAGRNTA,UNDAGRNTA,XUPGRNTN,UPGRNTN,XUPGRNTP,UPGRNTP,XUPGRNTT,UPGRNTT,XUPGRNTA,UPGRNTA,XUDGPGRNTN,UDGPGRNTN,XUDGPGRNTP,UDGPGRNTP,XUDGPGRNTT,UDGPGRNTT,XUDGPGRNTA,UDGPGRNTA,XUNDPGRNTN,UNDPGRNTN,XUNDPGRNTP,UNDPGRNTP,XUNDPGRNTT,UNDPGRNTT,XUNDPGRNTA,UNDPGRNTA,XUFLOANN,UFLOANN,XUFLOANP,UFLOANP,XUFLOANT,UFLOANT,XUFLOANA,UFLOANA,XUDGFLOANN,UDGFLOANN,XUDGFLOANP,UDGFLOANP,XUDGFLOANT,UDGFLOANT,XUDGFLOANA,UDGFLOANA,XUNDFLOANN,UNDFLOANN,XUNDFLOANP,UNDFLOANP,XUNDFLOANT,UNDFLOANT,XUNDFLOANA,UNDFLOANA,XANYAIDN,ANYAIDN,XANYAIDP,ANYAIDP,XAIDFSIN,AIDFSIN,XAIDFSIP,AIDFSIP,XAGRNT_N,AGRNT_N,XAGRNT_P,AGRNT_P,XAGRNT_T,AGRNT_T,XAGRNT_A,AGRNT_A,XFGRNT_N,FGRNT_N,XFGRNT_P,FGRNT_P,XFGRNT_T,FGRNT_T,XFGRNT_A,FGRNT_A,XPGRNT_N,PGRNT_N,XPGRNT_P,PGRNT_P,XPGRNT_T,PGRNT_T,XPGRNT_A,PGRNT_A,XOFGRT_N,OFGRT_N,XOFGRT_P,OFGRT_P,XOFGRT_T,OFGRT_T,XOFGRT_A,OFGRT_A,XSGRNT_N,SGRNT_N,XSGRNT_P,SGRNT_P,XSGRNT_T,SGRNT_T,XSGRNT_A,SGRNT_A,XIGRNT_N,IGRNT_N,XIGRNT_P,IGRNT_P,XIGRNT_T,IGRNT_T,XIGRNT_A,IGRNT_A,XLOAN_N,LOAN_N,XLOAN_P,LOAN_P,XLOAN_T,LOAN_T,XLOAN_A,LOAN_A,XFLOAN_N,FLOAN_N,XFLOAN_P,FLOAN_P,XFLOAN_T,FLOAN_T,XFLOAN_A,FLOAN_A,XOLOAN_N,OLOAN_N,XOLOAN_P,OLOAN_P,XOLOAN_T,OLOAN_T,XOLOAN_A,OLOAN_A,YEAR
222567,R,5576,R,3193,R,2383,R,295,R,5,R,5576.0,R,3193.0,R,2383.0,R,295.0,R,5.0,A,,A,,A,,A,,A,,R,1887,R,34,R,8504669,R,4507.0,R,1768,R,55,R,8442677,R,4775.0,R,119,R,5,R,61992,R,521.0,R,1407,R,25,R,7160171,R,5089.0,R,1399,R,44,R,7138512,R,5103.0,R,8,R,0,R,21659,R,2707.0,R,250,R,4,R,779049,R,3116.0,R,249,R,8,R,777299,R,3122.0,R,1,R,0,R,1750,R,1750.0,R,203.0,R,69.0,R,178.0,R,60.0,R,162.0,R,55.0,R,1226485.0,R,7571.0,R,128.0,R,43.0,R,936702.0,R,7318.0,R,128.0,R,43.0,R,917702.0,R,7170.0,R,9.0,R,3.0,R,19000.0,R,2111.0,R,84.0,R,28.0,R,235852.0,R,2808.0,R,27.0,R,9.0,R,53931.0,R,1997.0,R,25.0,R,8.0,R,81768.0,R,3271.0,R,25.0,R,8.0,R,74250.0,R,2970.0,R,1.0,R,0.0,R,7518.0,R,7518.0,2024
222576,R,9215,R,7347,R,1868,R,1112,R,12,R,9215.0,R,7347.0,R,1868.0,R,1112.0,R,12.0,A,,A,,A,,A,,A,,R,4582,R,50,R,21540695,R,4701.0,R,4564,R,62,R,21502713,R,4711.0,R,18,R,1,R,37982,R,2110.0,R,4059,R,44,R,18203875,R,4485.0,R,4050,R,55,R,18173990,R,4487.0,R,9,R,0,R,29885,R,3321.0,R,1147,R,12,R,5550739,R,4839.0,R,1146,R,16,R,5548018,R,4841.0,R,1,R,0,R,2721,R,2721.0,R,796.0,R,72.0,R,748.0,R,67.0,R,748.0,R,67.0,R,4453717.0,R,5954.0,R,670.0,R,60.0,R,3757682.0,R,5608.0,R,670.0,R,60.0,R,3700182.0,R,5523.0,R,96.0,R,9.0,R,57500.0,R,599.0,R,159.0,R,14.0,R,536720.0,R,3376.0,R,159.0,R,14.0,R,159315.0,R,1002.0,R,66.0,R,6.0,R,244827.0,R,3710.0,R,65.0,R,6.0,R,239827.0,R,3690.0,R,1.0,R,0.0,R,5000.0,R,5000.0,2024
222822,R,3896,R,2355,R,1541,R,494,R,13,R,3896.0,R,2355.0,R,1541.0,R,494.0,R,13.0,A,,A,,A,,A,,A,,R,2925,R,75,R,10627886,R,3633.0,R,1890,R,80,R,10078123,R,5332.0,R,1035,R,67,R,549763,R,531.0,R,1500,R,39,R,6948454,R,4632.0,R,1495,R,63,R,6929268,R,4635.0,R,5,R,0,R,19186,R,3837.0,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,455.0,R,92.0,R,436.0,R,88.0,R,436.0,R,88.0,R,2989640.0,R,6857.0,R,337.0,R,68.0,R,1911356.0,R,5672.0,R,337.0,R,68.0,R,1872176.0,R,5555.0,R,30.0,R,6.0,R,39180.0,R,1306.0,R,148.0,R,30.0,R,450481.0,R,3044.0,R,157.0,R,32.0,R,627803.0,R,3999.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,A,,2024
222831,R,9623,R,5515,R,4108,R,1423,R,15,R,9623.0,R,5515.0,R,4108.0,R,1423.0,R,15.0,A,,A,,A,,A,,A,,R,5008,R,52,R,41954588,R,8378.0,R,4991,R,90,R,41919671,R,8399.0,R,17,R,0,R,34917,R,2054.0,R,2660,R,28,R,14968414,R,5627.0,R,2659,R,48,R,14961358,R,5627.0,R,1,R,0,R,7056,R,7056.0,R,2252,R,23,R,13631565,R,6053.0,R,2251,R,41,R,13619065,R,6050.0,R,1,R,0,R,12500,R,12500.0,R,1390.0,R,98.0,R,1390.0,R,98.0,R,1336.0,R,94.0,R,12107130.0,R,9062.0,R,765.0,R,54.0,R,4470331.0,R,5844.0,R,764.0,R,54.0,R,4461560.0,R,5840.0,R,10.0,R,1.0,R,8771.0,R,877.0,R,1010.0,R,71.0,R,4317210.0,R,4274.0,R,1048.0,R,74.0,R,3319589.0,R,3168.0,R,643.0,R,45.0,R,4436217.0,R,6899.0,R,629.0,R,44.0,R,3248845.0,R,5165.0,R,90.0,R,6.0,R,1187372.0,R,13193.0,2024
222992,R,35600,R,25969,R,9631,R,2338,R,7,R,35600.0,R,25969.0,R,9631.0,R,2338.0,R,7.0,A,,A,,A,,A,,A,,R,9513,R,27,R,68096912,R,7158.0,R,9416,R,36,R,67809612,R,7202.0,R,97,R,1,R,287300,R,2962.0,R,8673,R,24,R,56661522,R,6533.0,R,8641,R,33,R,56504732,R,6539.0,R,32,R,0,R,156790,R,4900.0,R,4641,R,13,R,28094216,R,6053.0,R,4634,R,18,R,28044348,R,6052.0,R,7,R,0,R,49868,R,7124.0,R,1205.0,R,52.0,R,1160.0,R,50.0,R,1009.0,R,43.0,R,9612997.0,R,9527.0,R,941.0,R,40.0,R,7587946.0,R,8064.0,R,941.0,R,40.0,R,7472446.0,R,7941.0,R,151.0,R,6.0,R,115500.0,R,765.0,R,429.0,R,18.0,R,1480185.0,R,3450.0,R,281.0,R,12.0,R,544866.0,R,1939.0,R,343.0,R,15.0,R,1799701.0,R,5247.0,R,341.0,R,15.0,R,1707829.0,R,5008.0,R,7.0,R,0.0,R,91872.0,R,13125.0,2024
223320,R,3879,R,1832,R,2047,R,259,R,7,R,3879.0,R,1832.0,R,2047.0,R,259.0,R,7.0,A,,A,,A,,A,,A,,R,1316,R,34,R,8481963,R,6445.0,R,1316,R,72,R,8481963,R,6445.0,R,0,R,0,R,0,A,,R,1018,R,26,R,6730543,R,6612.0,R,1018,R,56,R,6730543,R,6612.0,R,0,R,0,R,0,A,,R,215,R,6,R,1159999,R,5395.0,R,215,R,12,R,1159999,R,5395.0,R,0,R,0,R,0,A,,R,258.0,R,100.0,R,250.0,R,97.0,R,247.0,R,95.0,R,2038539.0,R,8253.0,R,220.0,R,85.0,R,1575756.0,R,7163.0,R,220.0,R,85.0,R,1525285.0,R,6933.0,R,65.0,R,25.0,R,50471.0,R,776.0,R,139.0,R,54.0,R,312308.0,R,2247.0,R,129.0,R,50.0,R,150475.0,R,1166.0,R,28.0,R,11.0,R,126270.0,R,4510.0,R,28.0,R,11.0,R,126270.0,R,4510.0,R,0.0,R,0.0,R,0.0,A,,2024
223427,R,18545,R,15788,R,2757,R,3565,R,19,R,18545.0,R,15788.0,R,2757.0,R,3565.0,R,19.0,A,,A,,A,,A,,A,,R,5567,R,30,R,19108850,R,3433.0,R,5266,R,33,R,18620716,R,3536.0,R,301,R,11,R,488134,R,1622.0,R,3903,R,21,R,10039828,R,2572.0,R,3790,R,24,R,9479685,R,2501.0,R,113,R,4,R,560143,R,4957.0,R,3401,R,18,R,11967586,R,3519.0,R,3320,R,21,R,11649921,R,3509.0,R,81,R,3,R,317665,R,3922.0,R,2208.0,R,62.0,R,2206.0,R,62.0,R,1761.0,R,49.0,R,6923135.0,R,3931.0,R,1264.0,R,35.0,R,3946838.0,R,3122.0,R,1264.0,R,35.0,R,3875088.0,R,3066.0,R,82.0,R,2.0,R,71750.0,R,875.0,R,535.0,R,15.0,R,1267284.0,R,2369.0,R,790.0,R,22.0,R,1709013.0,R,2163.0,R,1240.0,R,35.0,R,4747587.0,R,3829.0,R,1215.0,R,34.0,R,4075462.0,R,3354.0,R,110.0,R,3.0,R,672125.0,R,6110.0,2024
223506,R,4073,R,2842,R,1231,R,227,R,6,R,4073.0,R,2842.0,R,1231.0,R,227.0,R,6.0,A,,A,,A,,A,,A,,R,1595,R,39,R,5062843,R,3174.0,R,1419,R,50,R,4960587,R,3496.0,R,176,R,14,R,102256,R,581.0,R,708,R,17,R,3310836,R,4676.0,R,704,R,25,R,3298040,R,4685.0,R,4,R,0,R,12796,R,3199.0,R,49,R,1,R,287084,R,5859.0,R,49,R,2,R,287084,R,5859.0,R,0,R,0,R,0,A,,R,216.0,R,95.0,R,214.0,R,94.0,R,213.0,R,94.0,R,707615.0,R,3322.0,R,71.0,R,31.0,R,352194.0,R,4960.0,R,71.0,R,31.0,R,342394.0,R,4822.0,R,18.0,R,8.0,R,9800.0,R,544.0,R,43.0,R,19.0,R,123099.0,R,2863.0,R,213.0,R,94.0,R,232322.0,R,1091.0,R,2.0,R,1.0,R,9500.0,R,4750.0,R,2.0,R,1.0,R,9500.0,R,4750.0,R,0.0,R,0.0,R,0.0,A,,2024
223816,R,8192,R,5985,R,2207,R,458,R,6,R,8192.0,R,5985.0,R,2207.0,R,458.0,R,6.0,A,,A,,A,,A,,A,,R,5728,R,70,R,27675036,R,4832.0,R,4268,R,71,R,20971667,R,4914.0,R,1460,R,66,R,6703369,R,4591.0,R,3037,R,37,R,18782853,R,6185.0,R,2830,R,47,R,18134076,R,6408.0,R,207,R,9,R,648777,R,3134.0,R,3428,R,42,R,12682880,R,3700.0,R,3428,R,57,R,12682880,R,3700.0,R,0,R,0,R,0,A,,R,458.0,R,100.0,R,374.0,R,82.0,R,374.0,R,82.0,R,1930041.0,R,5161.0,R,338.0,R,74.0,R,1700238.0,R,5030.0,R,284.0,R,62.0,R,1599854.0,R,5633.0,R,70.0,R,15.0,R,100384.0,R,1434.0,R,86.0,R,19.0,R,88111.0,R,1025.0,R,106.0,R,23.0,R,141692.0,R,1337.0,R,201.0,R,44.0,R,685299.0,R,3409.0,R,201.0,R,44.0,R,685299.0,R,3409.0,Z,0.0,R,0.0,Z,0.0,A,,2024
223898,R,3001,R,1638,R,1363,R,325,R,11,R,3001.0,R,1638.0,R,1363.0,R,325.0,R,11.0,A,,A,,A,,A,,A,,R,1016,R,34,R,5816941,R,5725.0,R,936,R,57,R,5547697,R,5927.0,R,80,R,6,R,269244,R,3366.0,R,775,R,26,R,4109478,R,5303.0,R,738,R,45,R,3915605,R,5306.0,R,37,R,3,R,193873,R,5240.0,R,193,R,6,R,1098874,R,5694.0,R,185,R,11,R,1044790,R,5648.0,R,8,R,1,R,54084,R,6761.0,R,255.0,R,78.0,R,255.0,R,78.0,R,246.0,R,76.0,R,1772521.0,R,7205.0,R,166.0,R,51.0,R,1064237.0,R,6411.0,R,166.0,R,51.0,R,1058736.0,R,6378.0,R,16.0,R,5.0,R,5501.0,R,344.0,R,64.0,R,20.0,R,254582.0,R,3978.0,R,137.0,R,42.0,R,453702.0,R,3312.0,R,29.0,R,9.0,R,150871.0,R,5202.0,R,29.0,R,9.0,R,150871.0,R,5202.0,R,0.0,R,0.0,R,0.0,A,,2024
223922,R,1438,R,1438,R,0,R,216,R,15,R,1438.0,R,1438.0,R,0.0,R,216.0,R,15.0,A,,A,,A,,A,,A,,R,1007,R,70,R,3576873,R,3552.0,R,1007,R,70,R,3576873,R,3552.0,R,0,Z,0,R,0,A,,R,303,R,21,R,1711901,R,5650.0,R,303,R,21,R,1711901,R,5650.0,R,0,Z,0,R,0,A,,R,169,R,12,R,934197,R,5528.0,R,169,R,12,R,934197,R,5528.0,R,0,Z,0,R,0,A,,R,194.0,R,90.0,R,184.0,R,85.0,R,184.0,R,85.0,R,1234766.0,R,6711.0,R,102.0,R,47.0,R,640211.0,R,6277.0,R,102.0,R,47.0,R,622820.0,R,6106.0,R,30.0,R,14.0,R,17391.0,R,580.0,R,36.0,R,17.0,R,115466.0,R,3207.0,R,142.0,R,66.0,R,479089.0,R,3374.0,R,42.0,R,19.0,R,213629.0,R,5086.0,R,42.0,R,19.0,R,210629.0,R,5015.0,R,1.0,R,0.0,R,3000.0,R,3000.0,2024
